"uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","boutNumber","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","family","nativeStatusCode","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"08b95360-854d-4d74-a276-93fc7d2423ca","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",3,"2015-06-14T09:23Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",9,"singing","No","Male",1,"","JRUEB",NA
"f2d2d4ce-c978-46a5-befb-4d3b749b1cdb","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",3,"2015-06-14T09:23Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",12,"singing","No","Male",1,"","JRUEB",NA
"754c7b57-1892-4f1f-9f49-594c40d47bfa","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",3,"2015-06-14T09:23Z",1,"BRD.BART.2015.1",2,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",50,"singing","No","Male",1,"","JRUEB",NA
"6212a830-6d2d-4999-b169-19273526790e","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",3,"2015-06-14T09:23Z",1,"BRD.BART.2015.1",2,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler","Parulidae","N",17,"singing","No","Male",1,"","JRUEB",NA
"192585ee-0a3d-4994-856f-3da8090a37c3","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",3,"2015-06-14T09:23Z",1,"BRD.BART.2015.1",1,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee","Paridae","N",42,"singing","No","Male",1,"","JRUEB",NA
"91324dd0-58b5-4873-9244-b51c932891e1","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",2,"2015-06-14T09:43Z",1,"BRD.BART.2015.1",3,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler","Parulidae","N",27,"singing","No","Male",1,"","JRUEB",NA
"6d282096-fc76-4302-a1d8-8f5ff113d4bd","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",2,"2015-06-14T09:43Z",1,"BRD.BART.2015.1",4,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",62,"singing","No","Male",1,"","JRUEB",NA
"bdc1e8d9-1dd3-4cf1-8593-822622df9b22","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",2,"2015-06-14T09:43Z",1,"BRD.BART.2015.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",26,"singing","No","Male",1,"","JRUEB",NA
"acce3970-c27e-4f60-92c0-96a53e785ead","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",2,"2015-06-14T09:43Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",21,"singing","No","Male",1,"","JRUEB",NA
"53541100-acd4-45e4-85e5-46b476535e46","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",1,"2015-06-14T10:31Z",1,"BRD.BART.2015.1",6,"Y","WBNU","Sitta carolinensis","species","White-breasted Nuthatch","Sittidae","N",46,"calling","No","Unknown",1,"","JRUEB",NA
"2a086d98-2b40-4191-a6ee-0c31f6b9c61c","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",1,"2015-06-14T10:31Z",1,"BRD.BART.2015.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",60,"singing","No","Male",1,"","JRUEB",NA
"1c15ea4a-6c8a-4b59-90c9-d4871db648fb","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",1,"2015-06-14T10:31Z",1,"BRD.BART.2015.1",1,"Y","SWTH","Catharus ustulatus","species","Swainson's Thrush","Turdidae","N",21,"singing","No","Male",1,"","JRUEB",NA
"a0210f48-74db-4e7e-bfd6-831ae93cd1b8","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",1,"2015-06-14T10:31Z",1,"BRD.BART.2015.1",1,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee","Paridae","N",51,"singing","No","Male",1,"","JRUEB",NA
"acf813fc-9283-408b-8c37-2a7e05a69dd1","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",1,"2015-06-14T10:31Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",42,"singing","No","Male",1,"","JRUEB",NA
"1d264b0a-a3bf-4a15-adac-85a68d4f744e","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",1,"2015-06-14T10:31Z",1,"BRD.BART.2015.1",1,"Y","AMRE","Setophaga ruticilla","species","American Redstart","Parulidae","N",30,"singing","No","Male",1,"","JRUEB",NA
