"scientificName","vernacularName","year","count"
"Vireo olivaceus","Red-eyed Vireo","2015",1
"Setophaga virens","Black-throated Green Warbler","2015",1
"Setophaga virens","Black-throated Green Warbler","2015",1
"Mniotilta varia","Black-and-white Warbler","2015",1
"Poecile atricapillus","Black-capped Chickadee","2015",1
"Mniotilta varia","Black-and-white Warbler","2015",1
"Troglodytes hiemalis","Winter Wren","2015",1
"Troglodytes hiemalis","Winter Wren","2015",1
"Setophaga virens","Black-throated Green Warbler","2015",1
"Sitta carolinensis","White-breasted Nuthatch","2015",1
"Troglodytes hiemalis","Winter Wren","2015",1
"Catharus ustulatus","Swainson's Thrush","2015",1
"Poecile atricapillus","Black-capped Chickadee","2015",1
"Vireo olivaceus","Red-eyed Vireo","2015",1
"Setophaga ruticilla","American Redstart","2015",1
"Vireo olivaceus","Red-eyed Vireo","2015",1
"Empidonax minimus","Least Flycatcher","2015",1
"Mniotilta varia","Black-and-white Warbler","2015",1
"Setophaga magnolia","Magnolia Warbler","2015",1
"Setophaga pinus","Pine Warbler","2015",1
"Setophaga caerulescens","Black-throated Blue Warbler","2015",1
"Troglodytes hiemalis","Winter Wren","2015",1
"Mniotilta varia","Black-and-white Warbler","2015",1
"Hylocichla mustelina","Wood Thrush","2015",1
"Setophaga coronata","Yellow-rumped Warbler","2015",1
"Setophaga magnolia","Magnolia Warbler","2015",1
"Poecile atricapillus","Black-capped Chickadee","2015",1
"Setophaga caerulescens","Black-throated Blue Warbler","2015",1
"Catharus fuscescens","Veery","2015",1
"Setophaga virens","Black-throated Green Warbler","2015",1
"Sphyrapicus varius","Yellow-bellied Sapsucker","2015",1
"Setophaga virens","Black-throated Green Warbler","2015",1
"Setophaga virens","Black-throated Green Warbler","2015",1
"Vireo olivaceus","Red-eyed Vireo","2015",1
"Setophaga magnolia","Magnolia Warbler","2015",1
"Setophaga pinus","Pine Warbler","2015",1
"Setophaga coronata","Yellow-rumped Warbler","2015",1
"Regulus satrapa","Golden-crowned Kinglet","2015",1
"Mniotilta varia","Black-and-white Warbler","2015",1
"Mniotilta varia","Black-and-white Warbler","2015",1
"Setophaga coronata","Yellow-rumped Warbler","2015",1
"Seiurus aurocapilla","Ovenbird","2015",1
"Catharus guttatus","Hermit Thrush","2015",1
"Vireo olivaceus","Red-eyed Vireo","2015",1
"Melanerpes carolinus","Red-bellied Woodpecker","2015",1
"Vireo olivaceus","Red-eyed Vireo","2015",1
"Setophaga fusca","Blackburnian Warbler","2015",1
